Time,Position,Level,Experience,Technology,Location,Way_of_working,Employees_number,Salary_type,Salary
2023-01-23 00:32:16.007,Architect / Mimar,Senior,10+ Yıl,Java / Spring,Türkiye,Hybrid,100-300,Türk Lirası,46.000 - 50.000 TL
2023-01-23 00:32:22.663,Frontend Developer,Junior,0-1 Yıl,"React / NextJS, Javascript, React Native, Figma",Türkiye,Remote,10-30,Türk Lirası,11.000 - 15.000 TL
2023-01-23 00:32:44.287,Frontend Developer,Junior,1-3 Yıl,"Vue, NodeJS, Javascript",Türkiye,Remote,50-100,Türk Lirası,11.000 - 15.000 TL
2023-01-23 00:32:48.631,Mobile Developer,Senior,7-9 Yıl,"Java / Spring, Kotlin",Türkiye,Remote,2000+,Türk Lirası,51.000 - 55.000 TL
2023-01-23 00:33:06.991,Frontend Developer,Mid,4-6 Yıl,React / NextJS,Türkiye,Remote,50-100,Türk Lirası,21.000 - 25.000 TL
2023-01-23 00:33:09.558,Fullstack Developer,Mid,1-3 Yıl,C# / .NET Framework,Türkiye,Yerinde / Ofiste,10-30,Türk Lirası,11.000 - 15.000 TL
2023-01-23 00:34:25.892,Mobile Developer,Mid,1-3 Yıl,Kotlin,Türkiye,Hybrid,10-30,Türk Lirası,41.000 - 45.000 TL
2023-01-23 00:34:58.094,Backend Developer,Senior,10+ Yıl,"Angular, NodeJS, Javascript, C# / .NET Framework",Türkiye,Hybrid,100-300,Türk Lirası,71.000 - 80.000 TL
2023-01-23 00:36:29.008,Fullstack Developer,Junior,1-3 Yıl,"Angular, Flutter",Türkiye,Yerinde / Ofiste,0-10,Türk Lirası,11.000 - 15.000 TL
2023-01-23 00:38:24.939,Backend Developer,Mid,4-6 Yıl,"NodeJS, Javascript",Türkiye,Remote,10-30,Dolar,41.000 - 45.000 TL
2023-01-23 00:38:37.270,Mobile Developer,Mid,1-3 Yıl,Flutter,Türkiye,Remote,50-100,Türk Lirası,11.000 - 15.000 TL
2023-01-23 00:39:06.539,Backend Developer,Mid,4-6 Yıl,Java / Spring,Türkiye,Remote,50-100,Dolar,31.000 - 35.000 TL
2023-01-23 00:39:59.301,Frontend Developer,Mid,1-3 Yıl,"React / NextJS, Vue, Javascript, Ruby",Türkiye,Remote,1000-2000,Türk Lirası,46.000 - 50.000 TL
2023-01-23 00:40:40.915,Backend Developer,Mid,1-3 Yıl,Go,Türkiye,Remote,300-1000,Dolar,41.000 - 45.000 TL
2023-01-23 00:40:45.841,Fullstack Developer,Mid,7-9 Yıl,"Vue, C# / .NET Framework, GO",Türkiye,Remote,2000+,Türk Lirası,16.000 - 20.000 TL
2023-01-23 00:40:48.659,Fullstack Developer,Mid,4-6 Yıl,"Angular, NodeJS, Javascript, C# / .NET Framework, React Native",Türkiye,Remote,10-30,Türk Lirası,26.000 - 30.000 TL
2023-01-23 00:40:48.826,Frontend Developer,Mid,1-3 Yıl,"Vue, Javascript",Türkiye,Remote,300-1000,Türk Lirası,31.000 - 35.000 TL
2023-01-23 00:40:55.538,Frontend Developer,Mid,4-6 Yıl,"React / NextJS, Vue, Javascript",Türkiye,Remote,30-50,Türk Lirası,26.000 - 30.000 TL
2023-01-23 00:42:10.603,Fullstack Developer,Mid,1-3 Yıl,"NodeJS, Javascript, React Native",Yurtdışı,Remote,50-100,Sterlin,46.000 - 50.000 TL
2023-01-23 00:42:15.378,Backend Developer,Senior,7-9 Yıl,C# / .NET Framework,Türkiye,Remote,2000+,Türk Lirası,41.000 - 45.000 TL
2023-01-23 00:42:51.672,Backend Developer,Senior,4-6 Yıl,"Angular, Vue, Javascript, Java / Spring",Türkiye,Remote,2000+,Türk Lirası,26.000 - 30.000 TL
2023-01-23 00:43:40.970,Analist,Senior,4-6 Yıl,"React / NextJS, Java / Spring",Yurtdışı,Remote,2000+,Dolar,46.000 - 50.000 TL
2023-01-23 00:44:13.655,Backend Developer,Senior,7-9 Yıl,PHP / Laravel,Yurtdışı,Remote,30-50,Aud,51.000 - 55.000 TL
2023-01-23 00:45:55.381,Test Otomasyonu,Junior,0-1 Yıl,Robot Framework,Türkiye,Hybrid,100-300,Türk Lirası,11.000 - 15.000 TL
2023-01-23 00:46:19.454,Mobile Developer,Mid,1-3 Yıl,Kotlin,Türkiye,Remote,100-300,Türk Lirası,21.000 - 25.000 TL
2023-01-23 00:47:03.367,Fullstack Developer,Senior,10+ Yıl,"Angular, Javascript, C# / .NET Framework",Türkiye,Yerinde / Ofiste,30-50,Türk Lirası,56.000 - 60.000 TL
2023-01-23 00:47:50.707,Frontend Developer,Junior,0-1 Yıl,"Javascript, Java / Spring, C / C++",Türkiye,Hybrid,100-300,Türk Lirası,11.000 - 15.000 TL
2023-01-23 00:48:34.388,Frontend Developer,Junior,1-3 Yıl,React / NextJS,Türkiye,Remote,30-50,Türk Lirası,16.000 - 20.000 TL
2023-01-23 00:49:29.762,Mobile Developer,Junior,0-1 Yıl,Swift,Türkiye,Remote,100-300,Türk Lirası,11.000 - 15.000 TL
2023-01-23 00:50:20.161,Fullstack Developer,Junior,0-1 Yıl,"React / NextJS, Javascript, C# / .NET Framework",Türkiye,Remote,30-50,Türk Lirası,5000 - 10.000 TL
2023-01-23 00:50:49.888,Fullstack Developer,Junior,1-3 Yıl,"Angular, C# / .NET Framework",Türkiye,Remote,0-10,Türk Lirası,11.000 - 15.000 TL
2023-01-23 00:50:59.364,Fullstack Developer,Mid,1-3 Yıl,"Javascript, PHP / Laravel",Türkiye,Hybrid,30-50,Türk Lirası,11.000 - 15.000 TL
2023-01-23 00:51:03.544,DevOps Engineer,Junior,0-1 Yıl,Python,Türkiye,Remote,30-50,Türk Lirası,5000 - 10.000 TL
2023-01-23 00:51:41.889,Backend Developer,Senior,7-9 Yıl,"Java / Spring, Python",Türkiye,Hybrid,2000+,Türk Lirası,61.000 - 65.000 TL
2023-01-23 00:52:56.546,Backend Developer,Junior,1-3 Yıl,C# / .NET Framework,Türkiye,Hybrid,50-100,Türk Lirası,16.000 - 20.000 TL
2023-01-23 00:52:59.878,Backend Developer,Junior,1-3 Yıl,Ruby,Türkiye,Remote,100-300,Türk Lirası,16.000 - 20.000 TL
2023-01-23 00:54:07.902,Game Developer / Oyun Geliştirici,Senior,7-9 Yıl,Unity,Türkiye,Yerinde / Ofiste,30-50,Türk Lirası,41.000 - 45.000 TL
2023-01-23 00:54:25.939,Frontend Developer,Junior,0-1 Yıl,Javascript,Türkiye,Remote,1000-2000,Türk Lirası,11.000 - 15.000 TL
2023-01-23 00:54:30.723,Fullstack Developer,Mid,1-3 Yıl,"Javascript, PHP / Laravel, React Native",Türkiye,Yerinde / Ofiste,10-30,Türk Lirası,26.000 - 30.000 TL
2023-01-23 00:54:38.629,Mobile Developer,Junior,0-1 Yıl,Flutter,Türkiye,Hybrid,10-30,Türk Lirası,11.000 - 15.000 TL
2023-01-23 00:57:22.457,Frontend Developer,Junior,1-3 Yıl,"Angular, NodeJS",Türkiye,Hybrid,10-30,Türk Lirası,5000 - 10.000 TL
2023-01-23 00:59:56.592,Frontend Developer,Junior,1-3 Yıl,React / NextJS,Türkiye,Yerinde / Ofiste,0-10,Türk Lirası,5000 - 10.000 TL
2023-01-23 01:00:34.990,Frontend Developer,Junior,0-1 Yıl,Vue,Türkiye,Yerinde / Ofiste,0-10,Türk Lirası,11.000 - 15.000 TL
2023-01-23 01:00:49.677,Network specialist,Junior,1-3 Yıl,apache kafka,Türkiye,Remote,300-1000,Türk Lirası,5000 - 10.000 TL
2023-01-23 01:01:01.754,Fullstack Developer,Junior,0-1 Yıl,"React / NextJS, Javascript",Türkiye,Remote,2000+,Türk Lirası,21.000 - 25.000 TL
