Time,Position,Level,Experience,Technology,Location,Way_of_working,Employees_number,Salary_type,Salary
2023-01-23 03:43:37.766,Frontend Developer,Mid,1-3 Yıl,"React / NextJS, NodeJS, Javascript, React Native, Figma",Türkiye,Remote,10-30,Türk Lirası,11.000 - 15.000 TL
2023-01-23 03:44:58.771,Frontend Developer,Mid,1-3 Yıl,"React / NextJS, NodeJS, Javascript, TypeScript",Türkiye,Remote,2000+,Türk Lirası,41.000 - 45.000 TL
2023-01-23 04:04:15.099,Fullstack Developer,Junior,1-3 Yıl,"React / NextJS, NodeJS, Java / Spring",Türkiye,Remote,2000+,Türk Lirası,16.000 - 20.000 TL
2023-01-23 04:26:44.171,Tasarımcı,Junior,1-3 Yıl,"Figma, Adobe Indesign, Illustrator, Photoshop, Premiere, Lightroom",Türkiye,Hybrid,30-50,Euro,11.000 - 15.000 TL
2023-01-23 04:46:25.713,Backend Developer,Senior,10+ Yıl,C# / .NET Framework,Türkiye,Remote,10-30,Türk Lirası,21.000 - 25.000 TL
2023-01-23 04:52:44.232,Game Developer / Oyun Geliştirici,Senior,10+ Yıl,"C# / .NET Framework, Unity",Yurtdışı,Hybrid,10-30,Dolar,121.000 - 150.000 TL
2023-01-23 05:31:57.507,Data Analyst,Junior,0-1 Yıl,"Python, SQL",Türkiye,Remote,300-1000,Türk Lirası,11.000 - 15.000 TL
2023-01-23 05:40:15.101,Fullstack Developer,Mid,1-3 Yıl,"React / NextJS, NodeJS, Javascript, C# / .NET Framework",Yurtdışı,Remote,10-30,Türk Lirası,26.000 - 30.000 TL
2023-01-23 05:55:42.209,Fullstack Developer,Senior,10+ Yıl,"Angular, Javascript, C# / .NET Framework",Türkiye,Remote,50-100,Türk Lirası,31.000 - 35.000 TL
2023-01-23 06:36:11.276,Frontend Developer,Junior,0-1 Yıl,"React / NextJS, Vue, Javascript",Türkiye,Remote,0-10,Türk Lirası,16.000 - 20.000 TL
2023-01-23 06:55:30.651,Qa engineer,Junior,0-1 Yıl,PHP / Laravel,Türkiye,Yerinde / Ofiste,100-300,Türk Lirası,16.000 - 20.000 TL
2023-01-23 07:01:07.090,Mobile Developer,Mid,4-6 Yıl,Java / Spring,Türkiye,Yerinde / Ofiste,10-30,Türk Lirası,31.000 - 35.000 TL
2023-01-23 07:03:46.210,Fullstack Developer,Tanımsız,1-3 Yıl,Groovy (Grails) - Angular Js,Türkiye,Yerinde / Ofiste,0-10,Türk Lirası,21.000 - 25.000 TL
2023-01-23 07:09:40.484,Yönetici / Müdür,Senior,10+ Yıl,"React / NextJS, Angular, NodeJS, C# / .NET Framework, C / C++",Türkiye,Hybrid,300-1000,Dolar,121.000 - 150.000 TL
2023-01-23 07:15:05.878,Game Developer / Oyun Geliştirici,Junior,0-1 Yıl,Unity,Türkiye,Yerinde / Ofiste,10-30,Türk Lirası,11.000 - 15.000 TL
2023-01-23 07:17:32.796,Fullstack Developer,Mid,1-3 Yıl,"Angular, Javascript, C# / .NET Framework",Türkiye,Hybrid,0-10,Türk Lirası,11.000 - 15.000 TL
2023-01-23 07:25:04.483,Game Developer / Oyun Geliştirici,Mid,1-3 Yıl,"C# / .NET Framework, Unity",Türkiye,Yerinde / Ofiste,0-10,Dolar,26.000 - 30.000 TL
2023-01-23 07:35:32.945,Fullstack Developer,Junior,1-3 Yıl,"Vue, Javascript, PHP / Laravel",Türkiye,Remote,100-300,Türk Lirası,5000 - 10.000 TL
2023-01-23 07:42:08.019,Frontend Developer,Senior,7-9 Yıl,Java / Spring,Türkiye,Hybrid,2000+,Türk Lirası,46.000 - 50.000 TL
2023-01-23 07:42:24.566,Fullstack Developer,Junior,0-1 Yıl,C# / .NET Framework,Türkiye,Yerinde / Ofiste,2000+,Türk Lirası,16.000 - 20.000 TL
2023-01-23 07:45:59.297,Backend Developer,Mid,4-6 Yıl,C# / .NET Framework,Türkiye,Yerinde / Ofiste,0-10,Türk Lirası,21.000 - 25.000 TL
2023-01-23 07:50:38.375,Yönetici / Müdür,Tanımsız,7-9 Yıl,"Vue, NodeJS, Javascript, Java / Spring, C# / .NET Framework",Türkiye,Remote,0-10,Türk Lirası,36.000 - 40.000 TL
2023-01-23 07:53:54.433,Fullstack Developer,Senior,7-9 Yıl,"NodeJS, Javascript, React Native",Türkiye,Remote,300-1000,Türk Lirası,51.000 - 55.000 TL
2023-01-23 07:55:25.480,Backend Developer,Senior,4-6 Yıl,"Javascript, C# / .NET Framework",Türkiye,Hybrid,2000+,Türk Lirası,41.000 - 45.000 TL
2023-01-23 08:02:02.732,Frontend Developer,Junior,0-1 Yıl,"React / NextJS, Javascript, TypeScript",Yurtdışı,Yerinde / Ofiste,10-30,USDT,11.000 - 15.000 TL
2023-01-23 08:03:16.426,Fullstack Developer,Senior,7-9 Yıl,"Angular, Javascript, C# / .NET Framework",Türkiye,Hybrid,300-1000,Türk Lirası,21.000 - 25.000 TL
2023-01-23 08:07:01.510,Architect / Mimar,Senior,10+ Yıl,"React / NextJS, Javascript, C# / .NET Framework",Türkiye,Remote,1000-2000,Türk Lirası,61.000 - 65.000 TL
2023-01-23 08:10:21.753,Frontend Developer,Senior,4-6 Yıl,Angular,Türkiye,Remote,2000+,Türk Lirası,16.000 - 20.000 TL
2023-01-23 08:13:31.311,Backend Developer,Senior,10+ Yıl,Java / Spring,Yurtdışı,Remote,300-1000,Dolar,121.000 - 150.000 TL
2023-01-23 08:15:26.492,Mobile Developer,Senior,10+ Yıl,"Swift, Kotlin",Türkiye,Yerinde / Ofiste,300-1000,Türk Lirası,41.000 - 45.000 TL
2023-01-23 08:20:03.523,Frontend Developer,Mid,1-3 Yıl,"React / NextJS, Javascript, React Native, Figma",Türkiye,Hybrid,50-100,Türk Lirası,21.000 - 25.000 TL
2023-01-23 08:22:19.441,Frontend Developer,Junior,0-1 Yıl,"React / NextJS, Javascript",Türkiye,Hybrid,30-50,Türk Lirası,16.000 - 20.000 TL
2023-01-23 08:28:34.744,Analist,Junior,0-1 Yıl,postgresql,Türkiye,Hybrid,10-30,Türk Lirası,11.000 - 15.000 TL
2023-01-23 08:29:04.348,Backend Developer,Mid,1-3 Yıl,Java / Spring,Türkiye,Remote,10-30,Türk Lirası,11.000 - 15.000 TL
2023-01-23 08:33:19.009,Backend Developer,Junior,1-3 Yıl,Java / Spring,Türkiye,Remote,2000+,Türk Lirası,31.000 - 35.000 TL
2023-01-23 08:34:07.076,Data Analyst,Mid,4-6 Yıl,"C / C++, ",Türkiye,Remote,30-50,Türk Lirası,36.000 - 40.000 TL
2023-01-23 08:39:28.917,Fullstack Developer,Senior,4-6 Yıl,"Angular, C# / .NET Framework",Türkiye,Hybrid,50-100,Türk Lirası,46.000 - 50.000 TL
2023-01-23 08:39:51.320,Fullstack Developer,Junior,1-3 Yıl,"Angular, NodeJS",Türkiye,Yerinde / Ofiste,300-1000,Türk Lirası,5000 - 10.000 TL
2023-01-23 08:40:25.295,Mobile Developer,Junior,1-3 Yıl,"Swift, Figma",Türkiye,Hybrid,300-1000,Türk Lirası,11.000 - 15.000 TL
2023-01-23 08:42:10.503,software test automation engineer,Mid,4-6 Yıl,Ruby,Türkiye,Remote,50-100,Euro,31.000 - 35.000 TL
2023-01-23 08:42:48.605,Mobile Developer,Senior,7-9 Yıl,Kotlin,Türkiye,Remote,100-300,Türk Lirası,61.000 - 65.000 TL
2023-01-23 08:50:21.560,Mobile Developer,Mid,1-3 Yıl,Swift,Türkiye,Hybrid,0-10,Türk Lirası,21.000 - 25.000 TL
2023-01-23 08:51:23.361,qa,Junior,1-3 Yıl,yok,Türkiye,Remote,1000-2000,Türk Lirası,11.000 - 15.000 TL
2023-01-23 08:54:32.622,Mobile Developer,Senior,1-3 Yıl,React Native,Türkiye,Remote,100-300,Türk Lirası,31.000 - 35.000 TL
2023-01-23 08:54:41.150,Data Analyst,Junior,1-3 Yıl,"Javascript, Java / Spring, C / C++",Türkiye,Yerinde / Ofiste,30-50,Türk Lirası,16.000 - 20.000 TL
2023-01-23 08:56:36.712,Backend Developer,Mid,4-6 Yıl,"Javascript, PHP / Laravel, React Native",Türkiye,Remote,0-10,Türk Lirası,21.000 - 25.000 TL
2023-01-23 09:01:43.597,UI/UX Designer,Tanımsız,1-3 Yıl,"Unity, Figma",Türkiye,Remote,50-100,Türk Lirası,16.000 - 20.000 TL
2023-01-23 09:03:02.434,Frontend Developer,Senior,7-9 Yıl,"React / NextJS, Javascript",Türkiye,Remote,50-100,Türk Lirası,21.000 - 25.000 TL
2023-01-23 09:04:03.719,Fullstack Developer,Senior,10+ Yıl,"Javascript, C# / .NET Framework",Türkiye,Yerinde / Ofiste,2000+,Türk Lirası,36.000 - 40.000 TL
2023-01-23 09:04:14.964,Backend Developer,Mid,4-6 Yıl,"Vue, C# / .NET Framework",Türkiye,Hybrid,10-30,Türk Lirası,26.000 - 30.000 TL
2023-01-23 09:08:52.588,Tasarımcı,Senior,4-6 Yıl,Unreal,Türkiye,Remote,0-10,Türk Lirası,21.000 - 25.000 TL
2023-01-23 09:09:21.489,Backend Developer,Mid,7-9 Yıl,C# / .NET Framework,Türkiye,Remote,30-50,Türk Lirası,21.000 - 25.000 TL
2023-01-23 09:12:33.816,data services engineer,Junior,0-1 Yıl,python,Yurtdışı,Hybrid,30-50,Euro,56.000 - 60.000 TL
2023-01-23 09:14:37.126,Frontend Developer,Senior,4-6 Yıl,"Angular, Javascript",Türkiye,Remote,100-300,Türk Lirası,36.000 - 40.000 TL
2023-01-23 09:15:10.133,Fullstack Developer,Senior,7-9 Yıl,"Javascript, Java / Spring, C# / .NET Framework",Türkiye,Remote,300-1000,Türk Lirası,41.000 - 45.000 TL
2023-01-23 09:17:01.171,Architect / Mimar,Tanımsız,10+ Yıl,C# / .NET Framework,Türkiye,Remote,1000-2000,Türk Lirası,56.000 - 60.000 TL
2023-01-23 09:22:17.663,Data Analyst,Junior,0-1 Yıl,Apache,Türkiye,Yerinde / Ofiste,50-100,Türk Lirası,11.000 - 15.000 TL
2023-01-23 09:23:50.682,Backend Developer,Mid,7-9 Yıl,"Java / Spring, Kotlin",Türkiye,Remote,1000-2000,Türk Lirası,36.000 - 40.000 TL
2023-01-23 09:24:42.253,Fullstack Developer,Junior,0-1 Yıl,"Vue, NodeJS, Javascript",Türkiye,Hybrid,50-100,Türk Lirası,11.000 - 15.000 TL
2023-01-23 09:27:27.038,Frontend Developer,Junior,1-3 Yıl,Javascript,Türkiye,Yerinde / Ofiste,0-10,Türk Lirası,16.000 - 20.000 TL
2023-01-23 09:28:12.725,Intern,Tanımsız,1-3 Yıl,"Angular, Java / Spring",Türkiye,Remote,2000+,Türk Lirası,5000 - 10.000 TL
2023-01-23 09:29:35.604,Product manager,Tanımsız,10+ Yıl,No developement,Türkiye,Hybrid,100-300,Türk Lirası,56.000 - 60.000 TL
2023-01-23 09:32:22.735,Architect / Mimar,Senior,10+ Yıl,C# / .NET Framework,Yurtdışı,Remote,0-10,İsviçre Frangi,56.000 - 60.000 TL
2023-01-23 09:33:54.602,Mobile Developer,Senior,1-3 Yıl,Flutter,Türkiye,Hybrid,10-30,Türk Lirası,26.000 - 30.000 TL
2023-01-23 09:37:39.327,Frontend Developer,Senior,10+ Yıl,"Angular, Javascript",Yurtdışı,Remote,2000+,Türk Lirası,31.000 - 35.000 TL
2023-01-23 09:41:31.200,Architect / Mimar,Junior,0-1 Yıl,"Javascript, Java / Spring",Türkiye,Remote,2000+,Türk Lirası,26.000 - 30.000 TL
2023-01-23 09:42:06.559,Arge,Tanımsız,1-3 Yıl,Solidworks,Türkiye,Yerinde / Ofiste,100-300,Türk Lirası,11.000 - 15.000 TL
2023-01-23 09:46:53.595,Oracle Database Administrator,Tanımsız,1-3 Yıl,Oracle DBA,Türkiye,Remote,50-100,Türk Lirası,31.000 - 35.000 TL
2023-01-23 09:52:04.444,Fullstack Developer,Mid,4-6 Yıl,"Javascript, Java / Spring",Türkiye,Remote,2000+,Türk Lirası,36.000 - 40.000 TL
2023-01-23 09:56:29.095,Mobile Developer,Mid,1-3 Yıl,"Swift, Kotlin, Flutter",Türkiye,Remote,50-100,Türk Lirası,26.000 - 30.000 TL
2023-01-23 09:59:38.857,Network/Sistem Mühendisi,Junior,0-1 Yıl,"Linux, Sanallaştırma Teknolojileri",Türkiye,Yerinde / Ofiste,0-10,Türk Lirası,5000 - 10.000 TL
2023-01-23 09:59:58.422,Fullstack Developer,Mid,1-3 Yıl,"React / NextJS, NodeJS, Javascript",Yurtdışı,Remote,10-30,Dolar,46.000 - 50.000 TL
2023-01-23 10:02:17.825,Backend Developer,Mid,4-6 Yıl,Java / Spring,Türkiye,Hybrid,100-300,Türk Lirası,36.000 - 40.000 TL
2023-01-23 10:02:36.388,Analist,Mid,1-3 Yıl,Figma,Türkiye,Hybrid,1000-2000,Türk Lirası,16.000 - 20.000 TL
2023-01-23 10:04:37.794,Yönetici / Müdür,Senior,10+ Yıl,Agile Project Management,Türkiye,Remote,50-100,Türk Lirası,36.000 - 40.000 TL
2023-01-23 10:06:38.537,Backend Developer,Senior,10+ Yıl,"Java / Spring, C# / .NET Framework",Türkiye,Remote,100-300,Türk Lirası,51.000 - 55.000 TL
2023-01-23 10:06:43.544,Fullstack Developer,Junior,1-3 Yıl,"React / NextJS, NodeJS, Javascript, C# / .NET Framework",Türkiye,Remote,30-50,Türk Lirası,26.000 - 30.000 TL
2023-01-23 10:08:07.163,Data Analyst,Junior,1-3 Yıl,"Python,SQL",Türkiye,Hybrid,300-1000,Türk Lirası,11.000 - 15.000 TL
2023-01-23 10:09:28.349,Backend Developer,Mid,1-3 Yıl,Java / Spring,Türkiye,Hybrid,50-100,Dolar,61.000 - 65.000 TL
2023-01-23 10:12:40.853,Fullstack Developer,Junior,1-3 Yıl,Javascript,Türkiye,Remote,10-30,Türk Lirası,11.000 - 15.000 TL
2023-01-23 10:14:02.678,UI/UX Designer,Junior,0-1 Yıl,Figma,Türkiye,Hybrid,50-100,Türk Lirası,11.000 - 15.000 TL
2023-01-23 10:14:52.318,Fullstack Developer,Mid,1-3 Yıl,"React / NextJS, Javascript, Java / Spring",Türkiye,Remote,10-30,Türk Lirası,26.000 - 30.000 TL
2023-01-23 10:14:52.522,UI/UX Designer,Mid,1-3 Yıl,Figma,Türkiye,Hybrid,10-30,Türk Lirası,11.000 - 15.000 TL
2023-01-23 10:18:42.762,Backend Developer,Mid,7-9 Yıl,Java / Spring,Türkiye,Remote,50-100,Dolar,31.000 - 35.000 TL
2023-01-23 10:18:53.888,Data Analyst,Mid,1-3 Yıl,Python,Türkiye,Remote,1000-2000,Türk Lirası,81.000 - 90.000 TL
2023-01-23 10:19:16.426,Backend Developer,Mid,1-3 Yıl,Go,Türkiye,Hybrid,2000+,Türk Lirası,26.000 - 30.000 TL
2023-01-23 10:21:28.070,Backend Developer,Senior,7-9 Yıl,"NodeJS, Java / Spring",Yurtdışı,Remote,10-30,Dolar,121.000 - 150.000 TL
2023-01-23 10:21:34.101,Backend Developer,Junior,4-6 Yıl,"C# / .NET Framework, PHP / Laravel",Türkiye,Yerinde / Ofiste,300-1000,Türk Lirası,5000 - 10.000 TL
2023-01-23 10:22:09.512,Backend Developer,Mid,1-3 Yıl,Python,Türkiye,Remote,10-30,Türk Lirası,31.000 - 35.000 TL
2023-01-23 10:24:28.038,Yönetici / Müdür,Tanımsız,7-9 Yıl,"NodeJS, Swift, Kotlin",Türkiye,Hybrid,50-100,Türk Lirası,61.000 - 65.000 TL
2023-01-23 10:25:12.414,Fullstack Developer,Junior,0-1 Yıl,"Javascript, Java / Spring, Swift, Kotlin",Türkiye,Hybrid,2000+,Türk Lirası,16.000 - 20.000 TL
2023-01-23 10:25:44.637,Fullstack Developer,Mid,1-3 Yıl,"React / NextJS, Javascript",Türkiye,Remote,30-50,Türk Lirası,16.000 - 20.000 TL
2023-01-23 10:27:16.527,Test Otomasyon Mühendisi ,Junior,0-1 Yıl,"C# / .NET Framework, Python",Türkiye,Remote,300-1000,Türk Lirası,11.000 - 15.000 TL
2023-01-23 10:28:46.272,Frontend Developer,Junior,0-1 Yıl,Javascript,Yurtdışı,Remote,0-10,Euro,16.000 - 20.000 TL
2023-01-23 10:30:00.256,Fullstack Developer,Junior,1-3 Yıl,"React / NextJS, Javascript, Java / Spring",Yurtdışı,Yerinde / Ofiste,0-10,Türk Lirası,21.000 - 25.000 TL
2023-01-23 10:30:33.595,Backend Developer,Junior,0-1 Yıl,Go,Yurtdışı,Remote,300-1000,Dolar,36.000 - 40.000 TL
2023-01-23 10:31:03.539,UI/UX Designer,Tanımsız,1-3 Yıl,"PS,procreate,AI",Yurtdışı,Remote,10-30,1500,26.000 - 30.000 TL
2023-01-23 10:38:13.537,Fullstack Developer,Mid,4-6 Yıl,"Vue, NodeJS, Javascript, PHP / Laravel",Türkiye,Remote,1000-2000,Türk Lirası,36.000 - 40.000 TL
2023-01-23 10:39:16.977,Backend Developer,Senior,10+ Yıl,"React / NextJS, NodeJS, Javascript, C# / .NET Framework",Türkiye,Remote,10-30,Türk Lirası,31.000 - 35.000 TL
2023-01-23 10:39:29.568,Backend Developer,Senior,7-9 Yıl,"Javascript, PHP / Laravel",Türkiye,Hybrid,0-10,Türk Lirası,16.000 - 20.000 TL
2023-01-23 10:39:49.331,DevOps Engineer,Mid,1-3 Yıl,"Kubernetes, Azure, Linux, CICD",Türkiye,Remote,100-300,Türk Lirası,31.000 - 35.000 TL
2023-01-23 10:41:49.419,Game Developer / Oyun Geliştirici,Mid,4-6 Yıl,Unity,Türkiye,Remote,10-30,Türk Lirası,21.000 - 25.000 TL
2023-01-23 10:42:25.124,Backend Developer,Junior,0-1 Yıl,"C# / .NET Framework, Flutter",Türkiye,Yerinde / Ofiste,0-10,Türk Lirası,5000 - 10.000 TL
2023-01-23 10:42:50.751,Fullstack Developer,Senior,10+ Yıl,"React / NextJS, Vue, Java / Spring",Türkiye,Hybrid,2000+,Türk Lirası,46.000 - 50.000 TL
2023-01-23 10:43:19.949,Data Scientist,Tanımsız,4-6 Yıl,Python,Türkiye,Remote,100-300,Türk Lirası,16.000 - 20.000 TL
2023-01-23 10:43:35.861,Fullstack Developer,Senior,7-9 Yıl,"React / NextJS, NodeJS, Javascript, Java / Spring, AWS",Yurtdışı,Remote,300-1000,Dolar,36.000 - 40.000 TL
2023-01-23 10:44:47.298,Analist,Junior,1-3 Yıl,"C# / .NET Framework, SQL",Türkiye,Remote,1000-2000,Türk Lirası,11.000 - 15.000 TL
2023-01-23 10:46:51.242,Embedded Software,Junior,0-1 Yıl,"C# / .NET Framework, C / C++",Türkiye,Yerinde / Ofiste,10-30,Türk Lirası,11.000 - 15.000 TL
2023-01-23 10:47:13.764,Backend Developer,Junior,0-1 Yıl,Java / Spring,Türkiye,Remote,10-30,Türk Lirası,11.000 - 15.000 TL
2023-01-23 10:47:38.724,Backend Developer,Mid,4-6 Yıl,Python / Go,Yurtdışı,Yerinde / Ofiste,2000+,Euro,91.000 - 100.000 TL
2023-01-23 10:48:16.978,Fullstack Developer,Mid,4-6 Yıl,"React / NextJS, NodeJS, Javascript",Yurtdışı,Remote,10-30,Dolar,51.000 - 55.000 TL
2023-01-23 10:48:27.342,Fullstack Developer,Senior,7-9 Yıl,"Javascript, PHP / Laravel",Türkiye,Yerinde / Ofiste,10-30,Türk Lirası,26.000 - 30.000 TL
2023-01-23 10:52:17.089,Backend Developer,Mid,4-6 Yıl,C# / .NET Framework,Türkiye,Remote,10-30,Türk Lirası,11.000 - 15.000 TL
2023-01-23 10:57:20.988,Backend Developer,Junior,0-1 Yıl,ABAP,Türkiye,Remote,2000+,Türk Lirası,11.000 - 15.000 TL
2023-01-23 10:57:52.107,Fullstack Developer,Mid,4-6 Yıl,"React / NextJS, C# / .NET Framework",Türkiye,Hybrid,0-10,Türk Lirası,26.000 - 30.000 TL
2023-01-23 10:59:32.949,Frontend Developer,Mid,1-3 Yıl,Javascript,Türkiye,Hybrid,10-30,Türk Lirası,26.000 - 30.000 TL
2023-01-23 11:01:49.128,Data Analyst,Junior,0-1 Yıl,"React / NextJS, Javascript, PHP / Laravel",Türkiye,Remote,30-50,Türk Lirası,5000 - 10.000 TL
2023-01-23 11:02:11.293,Frontend Developer,Junior,0-1 Yıl,React / NextJS,Türkiye,Remote,300-1000,Türk Lirası,11.000 - 15.000 TL
2023-01-23 11:02:22.335,DevOps Engineer,Senior,7-9 Yıl,Angular,Türkiye,Remote,2000+,Türk Lirası,46.000 - 50.000 TL
2023-01-23 11:03:21.056,Backend Developer,Senior,10+ Yıl,C# / .NET Framework,Türkiye,Hybrid,1000-2000,Türk Lirası,46.000 - 50.000 TL
2023-01-23 11:04:37.279,Frontend Developer,Tanımsız,0-1 Yıl,React / NextJS,Türkiye,Remote,300-1000,Türk Lirası,5000 - 10.000 TL
2023-01-23 11:05:11.773,Analist,Junior,1-3 Yıl,Sql,Türkiye,Remote,100-300,Türk Lirası,16.000 - 20.000 TL
2023-01-23 11:05:25.051,Frontend Developer,Junior,1-3 Yıl,React / NextJS,Türkiye,Remote,10-30,Türk Lirası,11.000 - 15.000 TL
2023-01-23 11:07:12.020,Backend Developer,Mid,7-9 Yıl,"NodeJS, rust",Yurtdışı,Remote,100-300,Euro,71.000 - 80.000 TL
2023-01-23 11:11:13.873,Frontend Developer,Junior,0-1 Yıl,Javascript,Türkiye,Yerinde / Ofiste,10-30,Türk Lirası,11.000 - 15.000 TL
2023-01-23 11:12:13.955,Fullstack Developer,Junior,0-1 Yıl,"Vue, Javascript, C# / .NET Framework",Türkiye,Remote,300-1000,Türk Lirası,16.000 - 20.000 TL
2023-01-23 11:12:36.786,UI/UX Designer,Senior,7-9 Yıl,Figma,Türkiye,Remote,10-30,Türk Lirası,16.000 - 20.000 TL
2023-01-23 11:15:57.347,Mobile Developer,Senior,7-9 Yıl,Swift,Türkiye,Hybrid,30-50,Türk Lirası,41.000 - 45.000 TL
2023-01-23 11:16:15.161,ML engineer,Junior,0-1 Yıl,Python,Türkiye,Remote,100-300,Türk Lirası,11.000 - 15.000 TL
2023-01-23 11:16:22.608,Backend Developer,Senior,10+ Yıl,C# / .NET Framework,Türkiye,Yerinde / Ofiste,300-1000,Türk Lirası,16.000 - 20.000 TL
2023-01-23 11:17:23.976,Fullstack Developer,Mid,1-3 Yıl,"React / NextJS, NodeJS",Türkiye,Remote,0-10,Türk Lirası,16.000 - 20.000 TL
2023-01-23 11:18:17.078,Backend Developer,Mid,4-6 Yıl,Java / Spring,Türkiye,Remote,300-1000,Türk Lirası,21.000 - 25.000 TL
2023-01-23 11:24:49.830,DevOps Engineer,Senior,4-6 Yıl,"C# / .NET Framework, React Native, Ruby",Türkiye,Remote,50-100,Türk Lirası,21.000 - 25.000 TL
2023-01-23 11:25:51.568,Yönetici / Müdür,Senior,7-9 Yıl,"python, tensorflow, keras",Türkiye,Yerinde / Ofiste,10-30,Türk Lirası,71.000 - 80.000 TL
2023-01-23 11:26:37.346,Backend Developer,Mid,4-6 Yıl,C# / .NET Framework,Türkiye,Hybrid,10-30,Türk Lirası,16.000 - 20.000 TL
2023-01-23 11:30:03.232,Fullstack Developer,Mid,1-3 Yıl,Java / Spring,Türkiye,Remote,10-30,Türk Lirası,11.000 - 15.000 TL
2023-01-23 11:31:43.585,Fullstack Developer,Senior,7-9 Yıl,"React / NextJS, Vue, NodeJS, Javascript, Java / Spring, React Native, Figma",Türkiye,Yerinde / Ofiste,0-10,Türk Lirası,26.000 - 30.000 TL
2023-01-23 11:32:06.210,Avukat,Tanımsız,4-6 Yıl,Hukuk,Türkiye,Yerinde / Ofiste,0-10,Türk Lirası,11.000 - 15.000 TL
2023-01-23 11:33:00.648,Frontend Developer,Mid,4-6 Yıl,"React / NextJS, Javascript, React Native",Türkiye,Hybrid,10-30,Türk Lirası,26.000 - 30.000 TL
2023-01-23 11:33:25.200,Mühendislik analiz,Junior,0-1 Yıl,Pythton/Matlab,Türkiye,Remote,0-10,Türk Lirası,5000 - 10.000 TL
2023-01-23 11:34:35.085,PO,Mid,1-3 Yıl,PM,Türkiye,Yerinde / Ofiste,1000-2000,Türk Lirası,31.000 - 35.000 TL
2023-01-23 11:38:01.699,Backend Developer,Mid,1-3 Yıl,PHP / Laravel,Türkiye,Remote,30-50,Türk Lirası,31.000 - 35.000 TL
2023-01-23 11:40:19.221,Backend Developer,Senior,4-6 Yıl,PHP / Laravel,Yurtdışı,Remote,0-10,Dolar,26.000 - 30.000 TL
2023-01-23 11:41:46.570,Frontend Developer,Senior,7-9 Yıl,"Angular, Javascript, Java / Spring",Türkiye,Hybrid,1000-2000,Türk Lirası,26.000 - 30.000 TL
2023-01-23 11:42:54.440,DevOps Engineer,Mid,1-3 Yıl,"AWS, GCP, Azure, Linux, Kubernetes, Docker, CI/CD Tools",Türkiye,Remote,30-50,Türk Lirası,16.000 - 20.000 TL
2023-01-23 11:43:53.562,Backend Developer,Junior,1-3 Yıl,Java / Spring,Türkiye,Remote,50-100,Dolar bazlı TL,26.000 - 30.000 TL
2023-01-23 11:45:30.422,Backend Developer,Senior,4-6 Yıl,C# / .NET Framework,Türkiye,Remote,300-1000,Türk Lirası,21.000 - 25.000 TL
2023-01-23 11:45:50.397,Mobile Developer,Junior,1-3 Yıl,Flutter,Türkiye,Remote,10-30,Türk Lirası,11.000 - 15.000 TL
2023-01-23 11:46:13.130,Fullstack Developer,Tanımsız,10+ Yıl,C# / .NET Framework,Türkiye,Yerinde / Ofiste,0-10,Türk Lirası,21.000 - 25.000 TL
2023-01-23 11:46:24.247,Frontend Developer,Mid,1-3 Yıl,Flutter,Türkiye,Hybrid,10-30,Türk Lirası,11.000 - 15.000 TL
2023-01-23 11:48:19.063,Backend Developer,Mid,4-6 Yıl,C# / .NET Framework,Yurtdışı,Remote,100-300,Dolar,26.000 - 30.000 TL
2023-01-23 11:48:23.226,Analist,Senior,1-3 Yıl,"Figma, Deneyim bu pozisyondaki deneyim, yoksa alan bilgisi var 10 yıllık. Üstüne klasik, Jira, Figma (ve benzerleri), Miro/lucid (ve benzerleri)  Confluence, SQL...",Yurtdışı,Remote,50-100,Euro,71.000 - 80.000 TL
2023-01-23 11:49:33.226,Fullstack Developer,Junior,0-1 Yıl,"React / NextJS, NodeJS",Türkiye,Yerinde / Ofiste,0-10,Türk Lirası,11.000 - 15.000 TL
2023-01-23 11:49:42.566,Fullstack Developer,Junior,1-3 Yıl,C# / .NET Framework,Türkiye,Remote,100-300,Türk Lirası,21.000 - 25.000 TL
2023-01-23 11:49:50.072,Fullstack Developer,Senior,7-9 Yıl,"Vue, Javascript, PHP / Laravel",Yurtdışı,Hybrid,30-50,Euro,101.000 - 120.000 TL
2023-01-23 11:50:09.031,Frontend Developer,Mid,1-3 Yıl,React / NextJS,Türkiye,Remote,100-300,Sterlin,26.000 - 30.000 TL
2023-01-23 11:51:21.067,Backend Developer,Junior,0-1 Yıl,C# / .NET Framework,Türkiye,Remote,10-30,Türk Lirası,11.000 - 15.000 TL
2023-01-23 11:53:29.750,Backend Developer,Mid,4-6 Yıl,NodeJS,Türkiye,Remote,50-100,Dolar,61.000 - 65.000 TL
2023-01-23 11:53:37.327,Fullstack Developer,Senior,4-6 Yıl,"React / NextJS, Angular, Javascript, Java / Spring, Kotlin",Türkiye,Yerinde / Ofiste,100-300,Türk Lirası,26.000 - 30.000 TL
2023-01-23 11:55:20.158,UI/UX Designer,Junior,0-1 Yıl,Figma,Türkiye,Yerinde / Ofiste,300-1000,Türk Lirası,11.000 - 15.000 TL
2023-01-23 11:55:26.140,Frontend Developer,Junior,0-1 Yıl,"React / NextJS, Javascript",Türkiye,Remote,10-30,Türk Lirası,5000 - 10.000 TL
